date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/06/13,34,265.03,3.012,1.11E+03,0.5,0.1,-1.9,57.6
  2023/06/13,81,267.32,3.007,1.12E+03,0.4,0.1,-2,61.2
  2023/06/13,130,265.26,3.086,1.14E+03,0.5,0,-1.8,57.6
  2023/06/13,180,265.24,3.005,1.11E+03,0.6,0,-1.8,57.6
  2023/06/13,229,265.36,2.969,1.09E+03,0.6,-0.1,-1.7,57.6
  2023/06/13,281,265.25,3.018,1.12E+03,0.6,-0.1,-2,61.2
  2023/06/13,332,273.89,3,1.18E+03,0.7,-0.1,-1.7,57.6
  2023/06/13,383,273.98,2.953,1.16E+03,3,2.5,-1.6,57.6
  2023/06/13,435,273.88,2.983,1.17E+03,0.4,-0.1,-1.6,61.2
  2023/06/13,484,274.07,2.996,1.18E+03,8.1,-2.5,-0.8,57.6
  2023/06/13,536,265.72,2.974,1.10E+03,49,-25.3,-5.8,57.6
  2023/06/13,584,265.12,3.039,1.12E+03,56.2,-43.9,-12.4,57.6
  2023/06/13,635,265.56,2.982,1.10E+03,59.4,-50.2,-15.8,57.6
  2023/06/13,680,265.09,3.009,1.10E+03,63.4,-64.1,-18.4,61.2
  2023/06/13,732,267.13,3.076,1.14E+03,69.8,-77.9,-20,115.2
  2023/06/13,837,266.92,2.989,1.11E+03,55.7,-64.3,-16.6,0
  2023/06/13,846,266.92,2.989,1.11E+03,71.8,-77.1,-22.2,61.2
  2023/06/13,884,265.52,2.978,1.10E+03,70.1,-78.9,-21.6,57.6
  2023/06/13,931,267.03,3.006,1.12E+03,68.1,-79.3,-22.2,57.6
  2023/06/13,980,267.76,2.975,1.11E+03,66.9,-78.2,-21.5,57.6
  2023/06/13,32,265.55,3.016,1.11E+03,64.4,-81.3,-17.1,57.6
  2023/06/13,81,276.31,2.97,1.18E+03,53,-80.7,-9.6,57.6
  2023/06/13,133,265.13,2.903,1.07E+03,53,-77.1,-9.2,57.6
  2023/06/13,190,265.01,2.938,1.08E+03,55.3,-77,-10.2,54
  2023/06/13,229,265.45,2.893,1.07E+03,54.3,-76.9,-9.9,57.6
  2023/06/13,280,273.96,2.906,1.14E+03,54.8,-77.1,-8.9,57.6
  2023/06/13,331,273.86,2.895,1.14E+03,57.2,-77.8,-9.1,57.6
  2023/06/13,386,273.93,2.961,1.17E+03,52.3,-77.8,-6.4,57.6
  2023/06/13,436,274.04,2.925,1.15E+03,47.9,-74.6,0.4,57.6
  2023/06/13,485,274.18,2.903,1.14E+03,43.7,-72.9,2.9,57.6
  2023/06/13,536,265.27,2.976,1.10E+03,55.2,-76.7,-5.6,57.6
  2023/06/13,583,265.22,3.015,1.10E+03,56.3,-74.8,-6.4,57.6
  2023/06/13,636,265.7,2.983,1.10E+03,55.2,-73.5,-4.3,57.6
  2023/06/13,680,265.16,3.017,1.11E+03,55.9,-73.4,-2.7,61.2
  2023/06/13,733,265.73,3.022,1.12E+03,52.7,-71.9,-0.4,57.6
  2023/06/13,782,265.89,3.051,1.13E+03,52.1,-72.3,-2.8,61.2
  2023/06/13,832,267.09,3.084,1.14E+03,58.2,-73.6,-5.2,61.2
  2023/06/13,880,265.73,3.084,1.14E+03,55.1,-74.1,-4.4,57.6
  2023/06/13,931,274.11,3.011,1.19E+03,53.8,-74.7,-4.9,61.2
  2023/06/13,980,268.22,3.057,1.15E+03,58,-73.8,-4.2,61.2
  2023/06/13,33,265.71,3.145,1.17E+03,57.6,-72.9,-3.2,61.2
  2023/06/13,80,268.49,3.127,1.18E+03,57.5,-73.8,-3.7,100.8
  2023/06/13,131,268.32,4.454,1.87E+03,54.7,-71.8,-2.8,75.6
  2023/06/13,180,267.98,3.592,1.45E+03,53.2,-72.7,-0.8,75.6
  2023/06/13,233,267.91,3.628,1.47E+03,54.2,-74.3,1.5,75.6
  2023/06/13,283,270.17,3.559,1.46E+03,55.2,-75.8,-0.3,74.016
  2023/06/13,330,268.28,3.505,1.42E+03,57,-72.8,-3.3,72.684
  2023/06/13,385,267.93,3.469,1.40E+03,53.7,-72.7,-1.9,74.736
