date,Irms-SigmaA-Total,P-SigmaA-Total,ch1,OT
  2023/04/06,0.6464,3.36E+02,0,16.884
  2023/04/06,0.6487,3.38E+02,0,17.075
  2023/04/06,0.6562,3.42E+02,0,17.017
  2023/04/06,0.6512,3.40E+02,0,16.877
  2023/04/06,0.6474,3.39E+02,0,17.024
  2023/04/06,0.6474,3.40E+02,0,16.924
  2023/04/06,0.6491,3.40E+02,0,16.884
  2023/04/06,0.6408,3.37E+02,0,16.895
  2023/04/06,0.6446,3.39E+02,0,16.866
  2023/04/06,0.6401,3.37E+02,0,16.963
  2023/04/06,0.6469,3.40E+02,0,16.924
  2023/04/06,0.645,3.39E+02,0,16.855
  2023/04/06,0.643,3.38E+02,0,16.841
  2023/04/06,0.64,3.36E+02,0,16.844
  2023/04/06,0.6431,3.37E+02,0,16.938
  2023/04/06,0.6467,3.38E+02,0,16.924
  2023/04/06,0.6535,3.39E+02,0,16.895
  2023/04/06,0.6463,3.37E+02,0,16.92
  2023/04/06,0.6475,3.36E+02,0,16.974
  2023/04/06,0.6529,3.38E+02,0,16.794
  2023/04/06,0.6516,3.37E+02,0,16.758
  2023/04/06,0.6438,3.33E+02,0,16.798
  2023/04/06,0.651,3.36E+02,0,17.017
  2023/04/06,0.657,3.39E+02,0,16.895
  2023/04/06,0.6527,3.38E+02,0,16.913
  2023/04/06,0.6495,3.38E+02,0,16.988
  2023/04/06,0.6535,3.39E+02,0,16.952
  2023/04/06,0.6494,3.38E+02,0,17.028
  2023/04/06,0.6584,3.41E+02,0,16.92
  2023/04/06,0.6456,3.37E+02,0,16.87
  2023/04/06,0.6467,3.38E+02,0,16.895
  2023/04/06,0.642,3.37E+02,0,16.88
  2023/04/06,0.6455,3.37E+02,0,16.934
  2023/04/06,0.6472,3.38E+02,0,16.844
  2023/04/06,0.6436,3.37E+02,0,17.003
  2023/04/06,0.6503,3.39E+02,0,16.888
  2023/04/06,0.6447,3.38E+02,0,17.028
  2023/04/06,0.6501,3.40E+02,0,16.891
  2023/04/06,0.6487,3.38E+02,0,16.909
  2023/04/06,0.6503,3.38E+02,0,16.852
  2023/04/06,0.6456,3.36E+02,0,17.021
  2023/04/06,0.6522,3.39E+02,0,16.913
  2023/04/06,0.6484,3.38E+02,0,16.963
  2023/04/06,0.6539,3.38E+02,0,16.902
  2023/04/06,0.6515,3.38E+02,0,17.032
  2023/04/06,0.6548,3.38E+02,0,16.834
