date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/04/06,45,407.44,0.6464,3.36E+02,0,0,0,16.90192437
  2023/04/06,85,407.51,0.6487,3.38E+02,0,0,0,16.91144554
  2023/04/06,145,407.63,0.6562,3.42E+02,0,0,0,16.92115653
  2023/04/06,185,407.64,0.6512,3.40E+02,0,0,0,16.93105482
  2023/04/06,245,407.66,0.6474,3.39E+02,0,0,0,16.94113768
  2023/04/06,285,407.7,0.6474,3.40E+02,0,0,0,16.95140224
  2023/04/06,345,407.7,0.6491,3.40E+02,0,0,0,16.96184545
  2023/04/06,395,407.63,0.6408,3.37E+02,0,0,0,16.97246407
  2023/04/06,445,407.65,0.6446,3.39E+02,0,0,0,16.98325473
  2023/04/06,485,407.65,0.6401,3.37E+02,0,0,0,16.99421385
  2023/04/06,545,407.65,0.6469,3.40E+02,0,0,0,17.00533768
  2023/04/06,585,407.67,0.645,3.39E+02,0,0,0,17.01662231
  2023/04/06,645,407.62,0.643,3.38E+02,0,0,0,17.02806364
  2023/04/06,685,407.56,0.64,3.36E+02,0,0,0,17.03965741
  2023/04/06,745,407.53,0.6431,3.37E+02,0,0,0,17.05139916
  2023/04/06,805,407.56,0.6467,3.38E+02,0,0,0,17.06328426
  2023/04/06,845,407.58,0.6535,3.39E+02,0,0,0,17.07530791
  2023/04/06,885,407.55,0.6463,3.37E+02,0,0,0,17.08746513
  2023/04/06,945,407.5,0.6475,3.36E+02,0,0,0,17.09975074
  2023/04/06,984,407.48,0.6529,3.38E+02,0,0,0,17.11215941
  2023/04/06,44,407.45,0.6516,3.37E+02,0,0,0,17.12468562
  2023/04/06,84,407.35,0.6438,3.33E+02,0,0,0,17.13732366
  2023/04/06,144,407.32,0.651,3.36E+02,0,0,0,17.15006765
  2023/04/06,184,407.39,0.657,3.39E+02,0,0,0,17.16291154
  2023/04/06,244,407.39,0.6527,3.38E+02,0,0,0,17.17584909
  2023/04/06,284,407.46,0.6495,3.38E+02,0,0,0,17.18887389
  2023/04/06,344,407.48,0.6535,3.39E+02,0,0,0,17.20197936
  2023/04/06,394,407.47,0.6494,3.38E+02,0,0,0,17.21515872
  2023/04/06,444,407.47,0.6584,3.41E+02,0,0,0,17.22840504
  2023/04/06,494,407.47,0.6456,3.37E+02,0,0,0,17.24171122
  2023/04/06,544,407.45,0.6467,3.38E+02,0,0,0,17.25506997
  2023/04/06,594,407.44,0.642,3.37E+02,0,0,0,17.26847384
  2023/04/06,644,407.44,0.6455,3.37E+02,0,0,0,17.2819152
  2023/04/06,694,407.41,0.6472,3.38E+02,0,0,0,17.29538627
  2023/04/06,734,407.43,0.6436,3.37E+02,0,0,0,17.30887911
  2023/04/06,794,407.44,0.6503,3.39E+02,0,0,0,17.32238559
  2023/04/06,834,407.46,0.6447,3.38E+02,0,0,0,17.33589743
  2023/04/06,894,407.48,0.6501,3.40E+02,0,0,0,17.34940621
  2023/04/06,934,407.47,0.6487,3.38E+02,0,0,0,17.36290334
  2023/04/06,994,407.42,0.6503,3.38E+02,0,0,0,17.37638006
  2023/04/06,34,407.41,0.6456,3.36E+02,0,0,0,17.3898275
  2023/04/06,94,407.46,0.6522,3.39E+02,0,0,0,17.40323659
  2023/04/06,134,407.5,0.6484,3.38E+02,0,0,0,17.41659817
  2023/04/06,194,407.48,0.6539,3.38E+02,0,0,0,17.42990291
  2023/04/06,234,407.5,0.6515,3.38E+02,0,0,0,17.44314133
  2023/04/06,294,407.51,0.6548,3.38E+02,0,0,0,17.45630384
  2023/04/06,334,407.47,0.6494,3.36E+02,0,0,0,17.4693807
  2023/04/06,394,407.46,0.6532,3.37E+02,0,0,0,17.48236207
  2023/04/06,444,407.46,0.6506,3.37E+02,0,0,0,17.49523796
  2023/04/06,494,407.45,0.6487,3.36E+02,0,0,0,17.50799828
  2023/04/06,544,407.45,0.6545,3.38E+02,0,0,0,17.52063281
  2023/04/06,594,407.46,0.655,3.39E+02,0,0,0,17.53313122
  2023/04/06,644,407.48,0.6519,3.38E+02,0,0,0,17.5454831
  2023/04/06,684,407.47,0.6527,3.38E+02,0,0,0,17.55767791
  2023/04/06,744,407.5,0.6516,3.38E+02,0,0,0,17.56970504
  2023/04/06,784,407.53,0.6506,3.38E+02,0,0,0,17.58155376
  2023/04/06,844,407.54,0.6532,3.39E+02,0,0,0,17.59321328
  2023/04/06,883,407.54,0.6493,3.38E+02,0,0,0,17.60467272
  2023/04/06,943,407.53,0.6479,3.37E+02,0,0,0,17.61592113
  2023/04/06,983,407.5,0.6495,3.37E+02,0,0,0,17.6269475
  2023/04/06,43,407.53,0.6486,3.37E+02,0,0,0,17.63774073
  2023/04/06,83,407.53,0.6477,3.37E+02,0,0,0,17.6482897
  2023/04/06,143,407.52,0.6496,3.38E+02,0,0,0,17.65858321
  2023/04/06,183,407.52,0.6496,3.38E+02,0,0,0,17.66861003
  2023/04/06,243,407.53,0.6476,3.37E+02,0,0,0,17.67835891
  2023/04/06,283,407.56,0.655,3.40E+02,0,0,0,17.68781853
  2023/04/06,343,407.6,0.6524,3.39E+02,0,0,0,17.69697758
  2023/04/06,393,407.6,0.6532,3.39E+02,0,0,0,17.70582473
  2023/04/06,443,407.59,0.6528,3.39E+02,0,0,0,17.71434862
  2023/04/06,493,407.6,0.6489,3.38E+02,0,0,0,17.72253792
