date,Millisecond,Urms-SigmaA-Total,Irms-SigmaA-Total,P-SigmaA-Total,ch1,ch2,ch3,OT
  2023/04/06,45,407.44,0.6464,3.36E+02,0,0,0,-0.017924347
  2023/04/06,85,407.51,0.6487,3.38E+02,0,0,0,0.163354488
  2023/04/06,145,407.63,0.6562,3.42E+02,0,0,0,0.09604349
  2023/04/06,185,407.64,0.6512,3.40E+02,0,0,0,-0.054254797
  2023/04/06,245,407.66,0.6474,3.39E+02,0,0,0,0.08326234
  2023/04/06,285,407.7,0.6474,3.40E+02,0,0,0,-0.027802219
  2023/04/06,345,407.7,0.6491,3.40E+02,0,0,0,-0.077845423
  2023/04/06,395,407.63,0.6408,3.37E+02,0,0,0,-0.077664051
  2023/04/06,445,407.65,0.6446,3.39E+02,0,0,0,-0.117254706
  2023/04/06,485,407.65,0.6401,3.37E+02,0,0,0,-0.031013822
  2023/04/06,545,407.65,0.6469,3.40E+02,0,0,0,-0.081737655
  2023/04/06,585,407.67,0.645,3.39E+02,0,0,0,-0.161422286
  2023/04/06,645,407.62,0.643,3.38E+02,0,0,0,-0.18726362
  2023/04/06,685,407.56,0.64,3.36E+02,0,0,0,-0.195257386
  2023/04/06,745,407.53,0.6431,3.37E+02,0,0,0,-0.113399135
  2023/04/06,805,407.56,0.6467,3.38E+02,0,0,0,-0.139684238
  2023/04/06,845,407.58,0.6535,3.39E+02,0,0,0,-0.180507889
  2023/04/06,885,407.55,0.6463,3.37E+02,0,0,0,-0.167465104
  2023/04/06,945,407.5,0.6475,3.36E+02,0,0,0,-0.125750718
  2023/04/06,984,407.48,0.6529,3.38E+02,0,0,0,-0.318159388
  2023/04/06,44,407.45,0.6516,3.37E+02,0,0,0,-0.366685593
  2023/04/06,84,407.35,0.6438,3.33E+02,0,0,0,-0.339723632
  2023/04/06,144,407.32,0.651,3.36E+02,0,0,0,-0.132867624
  2023/04/06,184,407.39,0.657,3.39E+02,0,0,0,-0.268111514
  2023/04/06,244,407.39,0.6527,3.38E+02,0,0,0,-0.263049066
  2023/04/06,284,407.46,0.6495,3.38E+02,0,0,0,-0.200473867
  2023/04/06,344,407.48,0.6535,3.39E+02,0,0,0,-0.249579332
  2023/04/06,394,407.47,0.6494,3.38E+02,0,0,0,-0.187158695
  2023/04/06,444,407.47,0.6584,3.41E+02,0,0,0,-0.30840502
  2023/04/06,494,407.47,0.6456,3.37E+02,0,0,0,-0.372111198
  2023/04/06,544,407.45,0.6467,3.38E+02,0,0,0,-0.360269945
  2023/04/06,594,407.44,0.642,3.37E+02,0,0,0,-0.388073811
  2023/04/06,644,407.44,0.6455,3.37E+02,0,0,0,-0.347515175
  2023/04/06,694,407.41,0.6472,3.38E+02,0,0,0,-0.45098625
  2023/04/06,734,407.43,0.6436,3.37E+02,0,0,0,-0.306079084
  2023/04/06,794,407.44,0.6503,3.39E+02,0,0,0,-0.434785561
  2023/04/06,834,407.46,0.6447,3.38E+02,0,0,0,-0.307897407
  2023/04/06,894,407.48,0.6501,3.40E+02,0,0,0,-0.458206187
  2023/04/06,934,407.47,0.6487,3.38E+02,0,0,0,-0.453703311
  2023/04/06,994,407.42,0.6503,3.38E+02,0,0,0,-0.524780037
  2023/04/06,34,407.41,0.6456,3.36E+02,0,0,0,-0.369027469
  2023/04/06,94,407.46,0.6522,3.39E+02,0,0,0,-0.490436568
  2023/04/06,134,407.5,0.6484,3.38E+02,0,0,0,-0.453398148
  2023/04/06,194,407.48,0.6539,3.38E+02,0,0,0,-0.52790288
  2023/04/06,234,407.5,0.6515,3.38E+02,0,0,0,-0.4115413
  2023/04/06,294,407.51,0.6548,3.38E+02,0,0,0,-0.622703809
  2023/04/06,334,407.47,0.6494,3.36E+02,0,0,0,-0.524180677
  2023/04/06,394,407.46,0.6532,3.37E+02,0,0,0,-0.601962047
  2023/04/06,444,407.46,0.6506,3.37E+02,0,0,0,-0.629237938
  2023/04/06,494,407.45,0.6487,3.36E+02,0,0,0,-0.566398254
  2023/04/06,544,407.45,0.6545,3.38E+02,0,0,0,-0.568232781
  2023/04/06,594,407.46,0.655,3.39E+02,0,0,0,-0.627531197
  2023/04/06,644,407.48,0.6519,3.38E+02,0,0,0,-0.575083075
  2023/04/06,684,407.47,0.6527,3.38E+02,0,0,0,-0.630477887
  2023/04/06,744,407.5,0.6516,3.38E+02,0,0,0,-0.624505009
  2023/04/06,784,407.53,0.6506,3.38E+02,0,0,0,-0.63635373
  2023/04/06,844,407.54,0.6532,3.39E+02,0,0,0,-0.69121325
  2023/04/06,883,407.54,0.6493,3.38E+02,0,0,0,-0.760272692
  2023/04/06,943,407.53,0.6479,3.37E+02,0,0,0,-0.753521104
  2023/04/06,983,407.5,0.6495,3.37E+02,0,0,0,-0.714147468
  2023/04/06,43,407.53,0.6486,3.37E+02,0,0,0,-0.714140702
  2023/04/06,83,407.53,0.6477,3.37E+02,0,0,0,-0.717489667
